"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"285_815.475_6.705",0.10153,0.10006,0.093062,0.088576,0.083942
"286_339.183_4.093",0.72032,0.93297,1.016,0.96747,0.94534
"287_341.199_4.967",0.32653,0.25441,0.23643,0.24208,0.34503
"288_317.2_5.369",0.22149,0.17768,0.17913,0.1765,0.1808
"289_353.199_6.437",0.22189,0.18627,0.20603,0.19573,0.18699
"290_647.395_5.935",0.11733,0.095993,0.089643,0.085385,0.080932
"291_909.56_8.851",0.097321,0.10221,0.094955,0.090227,0.086125
"292_357.16_3.323",0.22118,0.21718,0.25134,0.239,0.23675
"293_156.113_1",0.10678,0.11699,0.10868,0.10324,0.098052
"294_691.422_6.2",0.25162,0.22977,0.25221,0.24097,0.23802
"295_371.093_7.788",0.11248,0.11301,0.10816,0.10401,0.099784
"296_319.215_4.975",0.25784,0.18505,0.18039,0.20218,0.35952
"297_301.204_6.596",0.27608,0.24166,0.25286,0.25342,0.26552
"298_669.414_7.64",0.12113,0.095694,0.09141,0.086872,0.082464
"299_717.62_10.714",0.10363,0.098873,0.091783,0.08726,0.082711
"300_303.22_5.445",0.30448,0.25123,0.27214,0.25904,0.27383
"301_303.22_5.381",0.089368,0.35079,0.35496,0.38009,0.65173
"302_736.554_11.039",0.15926,0.11435,0.10927,0.10595,0.10395
"303_285.208_4.905",0.11927,0.11233,0.10644,0.10398,0.1054
"304_373.19_2.849",0.26862,0.2633,0.29248,0.27983,0.28928
"305_669.414_7.066",0.11064,0.096566,0.090084,0.085574,0.081198
"306_355.179_2.86",0.096904,0.085513,0.08051,0.079082,0.075257
"307_355.179_1.647",0.10606,0.098236,0.091206,0.086934,0.082572
"308_645.534_12.18",0.79462,0.83074,0.81981,0.81824,0.81762
"309_333.195_2.801",0.12644,0.094801,0.089681,0.086722,0.087772
"310_305.235_5.266",0.070758,0.67065,0.66799,0.64106,0.61306
"311_357.195_1.608",0.12219,0.14402,0.13372,0.12726,0.12159
"312_887.574_10.828",1.0064,0.9531,0.89242,0.85193,0.80884
"313_697.409_7.481",0.17119,0.12916,0.13616,0.13048,0.12861
"314_562.372_5.284",0.011299,0.12674,0.11763,0.13138,0.14876
"315_141.933_12.497",0.43502,0.51923,0.48192,0.45864,0.44602
"316_287.224_7.327",0.62625,0.89836,0.85069,1.1071,1.8278
"317_285.208_5.804",1.4692,1.0687,1.4068,1.5244,1.6575
"318_159.945_12.497",0.32455,0.40707,0.37803,0.35912,0.34399
"319_331.18_3.79",0.59456,0.91837,0.87568,0.86894,0.83166
"320_387.17_2.99",0.031077,0.023167,0.047362,0.045722,0.044883
"321_377.224_4.513",0.10956,0.095689,0.08897,0.084651,0.080248
"322_807.484_7.859",0.10099,0.10084,0.09387,0.089327,0.084654
"323_456.4_7.476",1.5369,1.4757,1.4097,1.3918,1.3667
"324_383.211_5.854",0.26802,0.19155,0.17779,0.21885,0.26587
"325_285.208_4.585",1.0223,0.73169,0.69736,0.66275,0.63943
"326_401.205_3.937",0.013325,0.077823,0.083134,0.079058,0.098323
"327_333.196_2.9",0.00077788,0.058863,0.12948,0.16459,0.1978
"328_843.507_5.716",0.15517,0.1109,0.10613,0.10438,0.11096
"329_287.224_5.282",0.41739,5.6965,5.5341,5.2601,5.0526
"330_590.514_10.039",0.11915,0.13961,0.1296,0.12338,0.11835
"331_127.993_0.206",0.08288,0.070149,0.06586,0.062595,0.060982
"332_667.53_9.885",0.12745,0.096669,0.09258,0.087982,0.083458
"333_644.011_12.512",0.10391,0.074261,0.069532,0.066094,0.063338
"334_109.981_0.204",0.092232,0.086401,0.08052,0.076491,0.073743
"335_311.223_7.624",0.57025,0.69262,0.64338,0.63602,0.61958
"336_371.174_2.509",0.092875,0.066375,0.080363,0.14527,0.20313
"337_887.574_11.286",0.10847,0.1187,0.11017,0.10466,0.099599
"338_317.2_4.84",14.412,11.459,11.306,10.745,10.193
"339_633.416_4.838",10.062,7.2798,6.8986,6.5707,6.2805
"340_317.2_4.809",3.3322,2.9267,2.7171,2.6596,2.5354
"341_355.215_6.244",4.4303,3.1776,3.1073,3.0284,3.068
"342_317.2_4.781",2.1839,4.931,4.6023,4.3757,4.147
"343_623.408_6.47",2.6633,1.904,1.8631,1.8222,1.8067
"344_333.232_6.256",4.9232,3.5577,3.3444,3.2104,3.1225
"345_601.425_6.465",2.0479,1.5274,1.4332,1.3625,1.2916
"346_315.22_6.253",3.0469,2.2168,2.0827,1.9947,1.93
"347_299.188_4.782",0.59508,1.2976,1.2098,1.1501,1.0928
"348_315.184_4.128",1.4624,1.1073,1.0709,1.0173,0.96749
"349_719.379_4.091",0.0054601,0.039398,0.039388,0.043645,0.088345
"350_301.204_4.526",0.81433,0.78984,0.76639,0.74784,0.74867
"351_359.174_2.918",0.61519,0.55003,0.53139,0.51604,0.50983
"352_315.184_3.698",0.35548,0.57189,0.5543,0.5283,0.5007
"353_385.227_5.033",1.5396,1.1151,1.0525,1.0057,0.95576
"354_369.23_6.574",1.4247,1.2317,1.1435,1.0943,1.04
"355_691.42_4.092",0.3611,0.25888,0.24839,0.23736,0.22695
"356_301.204_4.156",0.66973,0.90273,0.9475,0.92062,0.89194
"357_719.38_3.88",1.421,2.0353,1.9456,1.9058,1.8122
"358_355.179_3.694",0.47983,0.43651,0.40999,0.39408,0.38903
"359_687.389_3.692",0.035563,0.079614,0.093003,0.11922,0.14965
"360_341.198_4.555",1.1214,0.80206,0.87933,0.83614,0.94538
"361_335.211_3.159",0.26415,0.18969,0.17922,0.17025,0.16444
"362_810.997_4.836",1.9651,1.4157,1.3342,1.2852,1.243
"363_315.184_3.504",0.06855,0.44362,0.41678,0.81022,0.8316
"364_418.269_6.057",1.4576,1.4514,1.4711,1.5623,1.5945
"365_651.367_7.759",0.35423,0.25603,0.23813,0.23098,0.22794
"366_971.608_4.795",0.22954,0.1642,0.15454,0.14727,0.14601
"367_587.445_5.585",1.0913,0.85922,0.79797,0.80347,0.82706
"368_400.335_5.868",0.54651,0.47255,0.44146,0.42614,0.41664
"369_387.209_4.603",0.76964,0.58499,0.54361,0.52438,0.52184
"370_339.183_5.511",0.84392,0.62299,0.61048,0.58844,0.58515
"371_317.2_5.522",0.037313,0.33974,0.31833,0.30361,0.28777
"372_605.456_5.587",1.1367,0.83752,0.7918,0.75609,0.72038
"373_355.179_3.805",0.29379,0.23491,0.52561,0.53223,0.63955
"374_359.245_5.688",0.18011,0.14279,0.2219,0.31782,0.40025
"375_285.208_6.356",0.025049,0.065027,0.11285,0.155,0.16189
"376_285.208_6.304",0.66857,0.48982,0.46183,0.43879,0.41716
"377_771.008_6.466",0.19224,0.13779,0.12796,0.12666,0.12004
"378_343.214_4.098",0.93974,0.69042,0.68288,0.64881,0.61753
"379_360.206_2.503",0.0018106,0.11568,0.10907,0.1045,0.10989
"380_655.399_4.524",3.3942,5.2546,4.9689,4.8791,4.645
"381_687.389_3.504",0.57394,0.5461,0.52495,0.99176,1.0099
"382_810.997_4.79",0.0031818,0.23022,0.2205,0.2184,0.20717
"383_387.206_3.847",0.24675,0.22107,0.23683,0.23372,0.25033
"384_687.425_5.068",0.081186,0.060956,0.057574,0.063787,0.084017
